Relatório Saldo Estoque (Inventário) -  Razão Social: A. E. DE SOUZA - CNPJ: 09.273.149/0001-19 - Estoque Existente no dia 07/04/2026 - Livro: 1;;;;;;;;;
Código;Descrição;Unidade;Estoque;Compra Unt.;Saldo Compra;Venda Unt.;Venda Atacado;Saldo Venda;Saldo Atacado
1538;PAPETE MOLECAS ;UN; 160,000; 50,34; 8.054,40; 100,00; 75,00; 16.000,00; 12.000,00
1690;PINÇA;UN; 6,000; 3,00; 18,00; 5,00; 5,00; 30,00; 30,00
1682;PINCEL P/ BASE E PO;UN; 5,000; 19,30; 96,50; 28,00; 28,00; 140,00; 140,00
1686;PIRANHAS 00010;UN; 3,000; 5,50; 16,50; 10,00; 10,00; 30,00; 30,00
1687;PIRANHAS 0005;UN; 21,000; 2,50; 52,50; 5,00; 5,00; 105,00; 105,00
1626;PLANTAS 00035;UN; 14,000; 20,00; 280,00; 35,00; 35,00; 490,00; 490,00
1684;PO COMPACTO ;UN; 36,000; 10,00; 360,00; 20,00; 20,00; 720,00; 720,00
1707;POMADA NEGRA EXTRA FORTE;UN; 35,000; 7,41; 259,35; 15,00; 11,00; 525,00; 385,00
1683;PORTA RETRATO ;UN;- 2,000; 5,00;- 10,00; 10,00; 10,00;- 20,00;- 20,00
1549;RASTEIRAS MOLECAS 00065;UN; 1,000; 28,90; 28,90; 65,00; 40,00; 65,00; 40,00
1547;RASTEIRAS MOLECAS 00080;UN; 31,000; 38,90; 1.205,90; 80,00; 55,00; 2.480,00; 1.705,00
1559;RASTEIRAS MOLECAS 00092;UN; 3,000; 44,00; 132,00; 92,00; 61,00; 276,00; 183,00
1546;RASTEIRAS VIA UNO 000125;UN; 4,000; 58,50; 234,00; 125,00; 88,00; 500,00; 352,00
1637;RASTEIRINHA SL;UN; 36,000; 15,20; 547,20; 30,00; 21,00; 1.080,00; 756,00
1568;RELOGIO 60;UN; 1,000; 37,00; 37,00; 60,00; 60,00; 60,00; 60,00
1569;RIMEL OU MASCARA DE CILIOS ;UN; 10,000; 12,00; 120,00; 20,00; 20,00; 200,00; 200,00
1570;ROUPAS INFANTIL;UN; 5,000; 18,00; 90,00; 25,00; 25,00; 125,00; 125,00
1704;SABONETE LIGUIDO P/CORPO E MAO ;UN; 25,000; 7,00; 175,00; 15,00; 10,00; 375,00; 250,00
1535;SALTO MOLECA 000110;UN; 6,000; 54,90; 329,40; 110,00; 80,00; 660,00; 480,00
1537;SALTO MOLECA 000130;UN; 70,000; 68,00; 4.760,00; 130,00; 95,00; 9.100,00; 6.650,00
1536;SALTO MOLECA 000140;UN; 20,000; 76,00; 1.520,00; 140,00; 100,00; 2.800,00; 2.000,00
1702;SALTO MOLECA 000180;UN; 11,000; 73,00; 803,00; 180,00; 110,00; 1.980,00; 1.210,00
1640;SANDALIA INF BEIRA MAR ;UN; 62,000; 9,00; 558,00; 15,00; 12,00; 930,00; 744,00
1517;SANDALIA INFANTIL PERSONAGENS;UN; 918,000; 9,30; 8.537,40; 20,00; 13,00; 18.360,00; 11.934,00
1693;SANDALIA MASCULINA RIOS ;UN; 740,000; 11,50; 8.510,00; 20,00; 15,00; 14.800,00; 11.100,00
1567;SANDALIA MASCULINA SW;UN; 911,000; 12,00; 10.932,00; 25,00; 15,00; 22.775,00; 13.665,00
1513;SANDALIA PROMOÇÃO 0015;UN; 3.338,000; 9,50; 31.711,00; 15,00; 12,00; 50.070,00; 40.056,00
1539;SANDALIA PROMOCIONAIS ;UN; 892,000; 10,00; 8.920,00; 20,00; 19,00; 17.840,00; 16.948,00
1694;SANDALIA RIOS 00038;UN; 8,000; 22,00; 176,00; 38,00; 30,00; 304,00; 240,00
1553;SANDALIA SLIDE DIVERSAS;UN; 506,000; 10,00; 5.060,00; 25,00; 15,00; 12.650,00; 7.590,00
1676;SANDALIA SW FEMENINA ;UN; 14,000; 9,50; 133,00; 20,00; 12,00; 280,00; 168,00
1514;SANDALIAS ANGELI BRASIL;UN; 975,000; 8,50; 8.287,50; 20,00; 12,00; 19.500,00; 11.700,00
1713;SANDALIAS DIJEAN 00089;UN; 57,000; 50,00; 2.850,00; 89,00; 73,00; 5.073,00; 4.161,00
1548;SANDALIAS DIVERSAS 00025;UN; 368,000; 12,50; 4.600,00; 25,00; 17,00; 9.200,00; 6.256,00
1709;SANDALIAS HAVAIANAS 00030;UN; 53,000; 22,00; 1.166,00; 30,00; 30,00; 1.590,00; 1.590,00
1;SANDALIAS PROMOÇÃO ;UN; 1.000,000; 6,00; 6.000,00; 10,00; 9,00; 10.000,00; 9.000,00
1542;SAPATENIS VISUN 00110;UN; 0,000; 53,65; 0,00; 110,00; 85,00; 0,00; 0,00
1629;SAPATILHA MOLECA 00055;UN; 2,000; 28,00; 56,00; 55,00; 38,00; 110,00; 76,00
1628;SAPATILHA MOLECA 00070;UN; 13,000; 24,00; 312,00; 70,00; 35,00; 910,00; 455,00
1650;SAPATILHA MOLECA 00075;UN; 31,000; 24,00; 744,00; 75,00; 35,00; 2.325,00; 1.085,00
1648;SAPATILHA MOLECA 00085;UN; 53,000; 42,00; 2.226,00; 85,00; 53,00; 4.505,00; 2.809,00
1554;SAPATO VIA UNO 000145;UN; 5,000; 68,58; 342,90; 145,00; 100,00; 725,00; 500,00
1555;SAPATO VIA UNO 000150;UN; 2,000; 73,00; 146,00; 150,00; 110,00; 300,00; 220,00
1556;SOMBRINHA GRANDE ;UN; 19,000; 22,00; 418,00; 30,00; 30,00; 570,00; 570,00
1580;SOMBRINHA PEQUENO ;UN; 31,000; 19,00; 589,00; 25,00; 25,00; 775,00; 775,00
1566;TENIS ABS ;UN; 34,000; 88,00; 2.992,00; 130,00; 100,00; 4.420,00; 3.400,00
1594;TENIS ALL STAR CONVERSE;UN; 27,000; 35,00; 945,00; 75,00; 55,00; 2.025,00; 1.485,00
1596;TENIS DIJEAN 000197;UN; 0,000; 92,00; 0,00; 197,00; 148,00; 0,00; 0,00
1595;TENIS DIJEAN 000230;UN; 4,000; 117,00; 468,00; 230,00; 180,00; 920,00; 720,00
1614;TENIS DIVERSOS 000120;UN; 30,000; 80,00; 2.400,00; 120,00; 100,00; 3.600,00; 3.000,00
1607;TENIS DIVERSOS 00080;UN; 41,000; 38,00; 1.558,00; 80,00; 55,00; 3.280,00; 2.255,00
1610;TENIS INFANTIL CATENA ;UN; 7,000; 56,30; 394,10; 120,00; 80,00; 840,00; 560,00
1603;TENIS INFANTIL FLY;UN; 1,000; 67,20; 67,20; 140,00; 99,00; 140,00; 99,00
1611;TENIS INFANTIL FURIOS ;UN; 1,000; 56,30; 56,30; 120,00; 80,00; 120,00; 80,00
1604;TENIS INFANTIL MONSTER ;UN; 1,000; 61,00; 61,00; 130,00; 92,00; 130,00; 92,00
1612;TENIS INFANTIL PLAZZA;UN; 5,000; 56,30; 281,50; 120,00; 80,00; 600,00; 400,00
1613;TENIS INFANTIL START ;UN; 3,000; 56,30; 168,90; 120,00; 80,00; 360,00; 240,00
1622;TENIS LYND ;UN; 47,000; 85,00; 3.995,00; 175,00; 120,00; 8.225,00; 5.640,00
1617;TENIS LYND 000135;UN; 18,000; 65,89; 1.186,02; 135,00; 95,00; 2.430,00; 1.710,00
1618;TENIS LYND 000140;UN; 14,000; 70,00; 980,00; 140,00; 105,00; 1.960,00; 1.470,00
1619;TENIS LYND 000150;UN; 12,000; 75,00; 900,00; 150,00; 110,00; 1.800,00; 1.320,00
1621;TENIS LYND 000189;UN; 2,000; 135,00; 270,00; 189,00; 160,00; 378,00; 320,00
1620;TENIS LYND 000198;UN; 7,000; 99,00; 693,00; 198,00; 158,00; 1.386,00; 1.106,00
1711;TENIS MANCHESTER ;UN; 20,000; 85,00; 1.700,00; 150,00; 110,00; 3.000,00; 2.200,00
1653;TENIS MOLECA 000116;UN; 10,000; 58,00; 580,00; 116,00; 81,00; 1.160,00; 810,00
1654;TENIS MOLECA 000118;UN; 17,000; 58,00; 986,00; 118,00; 81,00; 2.006,00; 1.377,00
1646;TENIS MOLECA 000120;UN; 149,000; 59,00; 8.791,00; 120,00; 82,00; 17.880,00; 12.218,00
1651;TENIS MOLECA 000150;UN; 42,000; 59,00; 2.478,00; 150,00; 82,00; 6.300,00; 3.444,00
1649;TENIS MOLECA 00075;UN; 27,000; 24,00; 648,00; 75,00; 35,00; 2.025,00; 945,00
1647;TENIS MOLECA 00085;UN; 137,000; 41,00; 5.617,00; 85,00; 60,00; 11.645,00; 8.220,00
1658;TENIS MOLECA 00090;UN; 2,000; 49,50; 99,00; 90,00; 70,00; 180,00; 140,00
1652;TENIS MOLECA 00099;UN; 5,000; 24,00; 120,00; 99,00; 66,00; 495,00; 330,00
1623;TENIS NESK 000145;UN; 9,000; 73,00; 657,00; 145,00; 99,00; 1.305,00; 891,00
1624;TENIS NESK 000160;UN; 8,000; 81,00; 648,00; 160,00; 110,00; 1.280,00; 880,00
1602;TENIS OLLIE INFANTIL BRAGA ;UN; 5,000; 66,00; 330,00; 140,00; 99,00; 700,00; 495,00
1605;TENIS OLLIE INFANTIL STONES ;UN; 3,000; 67,20; 201,60; 140,00; 99,00; 420,00; 297,00
1597;TENIS OLLIE STAN ;UN;- 6,000; 66,00;- 396,00; 140,00; 99,00;- 840,00;- 594,00
1606;TENIS OLLIE STYLL;UN; 8,000; 75,00; 600,00; 160,00; 120,00; 1.280,00; 960,00
1655;TENIS REPLAY 000160;UN; 1,000; 83,00; 83,00; 160,00; 115,00; 160,00; 115,00
1625;TENIS REPLAY 000168;UN; 17,000; 79,13; 1.345,21; 168,00; 118,00; 2.856,00; 2.006,00
1712;TENIS SAYGON ;UN; 13,000; 85,00; 1.105,00; 150,00; 110,00; 1.950,00; 1.430,00
1656;TENIS STREET 000130;UN; 28,000; 65,00; 1.820,00; 130,00; 90,00; 3.640,00; 2.520,00
1657;TENIS STREET 000150;UN; 12,000; 75,00; 900,00; 150,00; 110,00; 1.800,00; 1.320,00
1703;TENIS WILHANS 000100;UN; 60,000; 45,00; 2.700,00; 100,00; 65,00; 6.000,00; 3.900,00
1681;TESOURA 00030;UN; 1,000; 25,00; 25,00; 30,00; 30,00; 30,00; 30,00
1700;VILLA ROSA 000135;UN; 9,000; 59,04; 531,36; 135,00; 89,00; 1.215,00; 801,00
1664;XICARAS 00020;UN; 6,000; 5,00; 30,00; 20,00; 10,00; 120,00; 60,00
Totais:;;; 15.137,00;; 253.014,78;;; 490.685,00; 360.006,00
